,name,acc_mean,acc_std,prec_macro_mean,prec_macro_std,best_f1_macro_mean,best_f1_macro_std,last_f1_macro_mean,last_f1_macro_std
5,hl200x2,0.5431334614753723,0.00717495008014262,0.5356304702377629,0.017408200254360167,0.5216175510149431,0.015232800424643667,0.5116225989628773,0.012776649806026259
4,hl400x2,0.5408123731613159,0.01535739504673509,0.530895882354349,0.018571702088618587,0.5178232092947965,0.005596096765787045,0.5106631258444988,0.011749152407411983
11,cld16_32_64,0.5373307585716247,0.012736607804962115,0.5422022177797883,0.012502444631937554,0.5136390525888389,0.009467218149581942,0.5064623609756318,0.012569475166274569
2,hl300x3,0.5326885938644409,0.015502872951499934,0.5389275016439203,0.02508369094677021,0.5083184712309361,0.018231100470157552,0.4969249648215799,0.01775592714258253
10,cl48_96_192,0.532688581943512,0.014556965424604143,0.5221112955882911,0.009873414263989917,0.50796915225344,0.002480290659026273,0.49779572705796743,0.008356485357420637
9,cl16_32_64,0.5346228241920471,0.013980124307363864,0.5267961761659572,0.009054588163705383,0.5072971818962971,0.003714647105232476,0.4992624381124064,0.005301511587051354
8,hl200,0.5237910985946655,0.007871178200042971,0.5068634660458369,0.008926805561599456,0.5056778252120772,0.006828442657969915,0.4972826553442453,0.00802540421879283
1,hl100x4,0.526112174987793,0.00873624056136411,0.5633506602965788,0.028253051139802365,0.5043164882297888,0.011431182924618411,0.4908869226722298,0.013413678493236388
12,cld48_96_192,0.5168278455734253,0.010900571333230257,0.5217089743188643,0.018319922689732572,0.5028913786633303,0.013328784090470771,0.4929956737840414,0.012634695061405781
6,hl400,0.521470022201538,0.009983355229194584,0.5135943456815587,0.014740895505550218,0.5017669605572578,0.01127127211898302,0.49805635375865825,0.01241813637075173
3,hl300x2,0.5249516367912292,0.01434989598249205,0.5157316536232243,0.016805302529542404,0.4993093123452825,0.009050805064772757,0.4918897410889166,0.01152297481951899
7,hl300,0.5230173945426941,0.0126304184943701,0.5004599536673778,0.022487888168819335,0.4973608433851549,0.022238618179480404,0.48876287684137487,0.020409057867880488
0,hl300x2_100x2_50x2,0.5323017358779907,0.009022758972458782,0.561443959829764,0.011310216565798602,0.4941935748829738,0.018493078279223703,0.4795412825010148,0.01103330469837834
