id,name,name_eng,volume,alcohol,price,brand,nation,bottled,region,region_detail,distillery,importer,local_full_path,eng_category
63800001,1423 S.B.S 가이아나 2020,1423 S.B.S Guyana 2020,700,66.4,124900,1423 S.B.S,가이아나,,,,,,photos/63800001_1.webp,Other
11201698,카발란 클래식 싱글몰트,Kavalan Classic Single Malt,700,40.0,144000,Kavalan,대만,,,,Kavalan,,photos/11201698_2.png,Single Malt
11201699,카발란 콘서트마스터 포트 캐스크 피니시,Kavalan Concertmaster Port Cask Finish,700,40.0,173000,Kavalan,대만,,,,Kavalan,,photos/11201699_1.webp,Single Malt
11201700,카발란 콘서트마스터 포트 캐스크 피니시 1L,Kavalan Concertmaster Port Cask Finish 1L,1000,40.0,200000,Kavalan,대만,,,,Kavalan,,photos/11201700_1.webp,Single Malt
11201701,카발란 콘서트마스터 셰리 캐스크 피니시,Kavalan Concertmaster Sherry Cask Finish,700,40.0,204000,Kavalan,대만,,,,Kavalan,,photos/11201701_1.webp,Single Malt
11201702,카발란 디스틸러리 셀렉트,Kavalan Distillery Select,700,40.0,89000,Kavalan,대만,,,,Kavalan,,photos/11201702_2.png,Single Malt
11201703,카발란 킹 카 컨덕터,Kavalan King Car Conductor,700,46.0,190000,Kavalan,대만,,,,Kavalan,,photos/11201703_1.webp,Single Malt
11201704,카발란 올로로쏘 셰리 오크,Kavalan Oloroso Sherry Oak,700,46.0,229000,Kavalan,대만,,,,Kavalan,,photos/11201704_2.png,Single Malt
11201705,카발란 올로로쏘 셰리 오크 1L,Kavalan Oloroso Sherry Oak 1L,1000,46.0,423000,Kavalan,대만,,,,Kavalan,,photos/11201705_2.png,Single Malt
11201706,카발란 포디움,Kavalan Podium,700,46.0,229000,Kavalan,대만,,,,Kavalan,,photos/11201706_1.webp,Single Malt
11201707,카발란 솔리스트 브랜디,Kavalan Solist Brandy,700,50.0,318000,Kavalan,대만,,,,Kavalan,,photos/11201707_1.webp,Single Malt
11201708,카발란 솔리스트 피노 셰리,Kavalan Solist Fino Sherry,700,50.0,520000,Kavalan,대만,,,,Kavalan,,photos/11201708_1.webp,Single Malt
11201709,카발란 솔리스트 피노 셰리 1L,Kavalan Solist Fino Sherry 1L,1000,50.0,470000,Kavalan,대만,,,,Kavalan,,photos/11201709_1.webp,Single Malt
11201710,카발란 솔리스트 마데이라 캐스크,Kavalan Solist Madeira,700,55.0,422000,Kavalan,대만,,,,Kavalan,,photos/11201710_1.webp,Single Malt
11201711,카발란 솔리스트 올로로쏘 셰리 캐스크,Kavalan Solist Oloroso Sherry,700,50.0,302000,Kavalan,대만,,,,Kavalan,,photos/11201711_1.webp,Single Malt
60900014,바비스 진,Bobby's Gin,700,42.0,65000,,네덜란드,,,,,,photos/60900014_1.webp,Other
11201712,카발란 솔리스트 올로로쏘 셰리 캐스크 1L,Kavalan Solist Oloroso Sherry 1L,1000,50.0,394000,Kavalan,대만,,,,Kavalan,,photos/11201712_1.webp,Single Malt
11201713,카발란 올로로쏘 셰리 캐스크 이안 창 에디션,Kavalan Solist Oloroso Sherry Ian Chang Edition,700,50.0,580000,Kavalan,대만,,,,Kavalan,,photos/11201713_1.webp,Single Malt
11201714,카발란 솔리스트 피티드,Kavalan Solist Peated,700,50.0,404000,Kavalan,대만,,,,Kavalan,,photos/11201714_1.webp,Single Malt
11201715,카발란 솔리스트 포트,Kavalan Solist Port,700,54.0,273000,Kavalan,대만,,,,Kavalan,,photos/11201715_1.webp,Single Malt
11201716,카발란 솔리스트 포트 이안 창 에디션,Kavalan Solist Port Ian Chang Edition,700,50.0,333000,Kavalan,대만,,,,Kavalan,,photos/11201716_1.webp,Single Malt
11201718,카발란 솔리스트 이엑스 버번,Kavalan Solist ex-Bourbon Ian Chang Edition,700,56.0,520000,Kavalan,대만,,,,Kavalan,,photos/11201718_1.webp,Single Malt
11201720,카발란 트리플 셰리 캐스크,Kavalan Triple Sherry Cask,700,40.0,160000,Kavalan,대만,,,,Kavalan,,photos/11201720_1.webp,Single Malt
11201721,카발란 엑스 버번 오크,Kavalan ex-Bourbon Oak,700,46.0,204000,Kavalan,대만,,,,Kavalan,,photos/11201721_1.webp,Single Malt
20501580,킬베간,Kilbeggan,700,40.0,52000,Kilbeggan,아일랜드,,,,Kilbeggan,,photos/20501580_1.webp,Blended
62900065,1423 S.B.S 도미니칸 리퍼블릭 2006,1423 S.B.S Dominican Republic 2006,700,59.0,124900,1423 S.B.S,도미니카 공화국,,,,,,photos/62900065_1.webp,Other
10801741,김창수 위스키 김포,Kimchangsoo Whisky Gimpo,700,50.1,550000,Kimchangsoo,대한민국,,,,Kim Chang Soo,,photos/10801741_1.webp,Single Malt
62900066,1423 S.B.S 도미니칸 리퍼블릭 아로마 그란데,1423 S.B.S Dominican Republic Aroma Grande,700,57.0,64700,1423 S.B.S,도미니카 공화국,,,,,,photos/62900066_1.webp,Other
20701603,더 레이크스 더 원 파인 블렌디드 위스키,The Lakes The One Fine Blended Whisky,700,46.6,96000,The Lakes,영국,,,,Lakes,,photos/20701603_1.webp,Blended
10702849,더 레이크스 이쿼녹스,The Lakes Equinox,700,46.6,175000,The Lakes,영국,,,,Lakes,,photos/10702849_1.webp,Single Malt
10702850,더 레이크스 갤럭시아,The Lakes Galaxia,700,54.0,559000,The Lakes,영국,,,,Lakes,,photos/10702850_1.webp,Single Malt
10702851,더 레이크스 인피니티,The Lakes Infinity,700,52.0,232000,The Lakes,영국,,,,Lakes,,photos/10702851_1.webp,Single Malt
10702852,더 레이크스 아이리스,The Lakes Iris,700,56.0,188000,The Lakes,영국,,,,Lakes,,photos/10702852_1.webp,Single Malt
10702853,더 레이크스 카이로스,The Lakes Kairos,700,46.6,173000,The Lakes,영국,,,,Lakes,,photos/10702853_1.webp,Single Malt
10702855,더 레이크스 캐터포일 컬렉션 페이스,The Lakes Quatrefoil Collection Faith,700,56.5,470000,The Lakes,영국,,,,Lakes,,photos/10702855_1.webp,Single Malt
10702856,더 레이크스 캐터포일 컬렉션 호프,The Lakes Quatrefoil Collection Hope,700,59.0,470000,The Lakes,영국,,,,Lakes,,photos/10702856_1.webp,Single Malt
10702857,더 레이크스 레스페베르,The Lakes Resfeber,700,46.6,173000,The Lakes,영국,,,,Lakes,,photos/10702857_1.webp,Single Malt
10702858,더 레이크스 더 위스키 메이커스 리저브 No.5,The Lakes The Whiskymaker's Reserve No.5,700,52.0,249000,The Lakes,영국,,,,Lakes,,photos/10702858_1.webp,Single Malt
10702859,더 레이크스 더 위스키 메이커스 리저브 No.6,The Lakes The Whiskymaker's Reserve No.6,700,52.0,164900,The Lakes,영국,,,,Lakes,,photos/10702859_1.webp,Single Malt
10702860,더 레이크스 더 위스키 메이커스 리저브 No.7,The Lakes The Whiskymaker's Reserve No.7,700,52.0,174000,The Lakes,영국,,,,Lakes,,photos/10702860_1.webp,Single Malt
10702861,더 레이크스 볼라,The Lakes Volar,700,52.0,232000,The Lakes,영국,,,,Lakes,,photos/10702861_1.webp,Single Malt
62600576,1423 S.B.S 자메이카 2010,1423 S.B.S Jamaica 2010,700,64.7,164900,1423 S.B.S,자메이카,,,,,,photos/62600576_1.webp,Other
60600127,818 데킬라 아네호,818 Tequila Anejo,750,40.0,213000,818 Tequila,멕시코,,,,,,photos/60600127_1.webp,Other
30200956,믹터스 토스티드 배럴 피니시,Michter's Toasted Barrel Finish,750,45.7,580000,Michter's,미국,,,,Michter's,,photos/30200956_1.webp,Bourbon
60500468,레드 브레스트 12년,Red breast 12yo,700,40.0,90000,Red breast,아일랜드,,,,Midleton,,photos/60500468_1.webp,Other
60500469,레드 브레스트 12년 CS,Red breast 12yo CS,700,55.0,280000,Red breast,아일랜드,,,,Midleton,,photos/60500469_1.webp,Other
20401607,아마하간 샤또 몽페라 캐스크 피니시,Amahagan World Malt Chateau Mont-Perat Cask Finish,700,47.0,109900,Amahagan,일본,,,,Nagahama,,photos/20401607_1.webp,Blended
20401608,아마하간 월드 몰트 에디션 No.1,Amahagan World Malt Edition No.1,700,47.0,129500,Amahagan,일본,,,,Nagahama,,photos/20401608_1.webp,Blended
20401609,아마하간 월드 몰트 에디션 No.2,Amahagan World Malt Edition No.2,700,47.0,160000,Amahagan,일본,,,,Nagahama,,photos/20401609_1.webp,Blended
60500470,레드 브레스트 15년,Red breast 15yo,700,46.0,173000,Red breast,아일랜드,,,,Midleton,,photos/60500470_1.webp,Other
20401610,아마하간 월드 몰트 에디션 No.3,Amahagan World Malt Edition No.3,700,47.0,164900,Amahagan,일본,,,,Nagahama,,photos/20401610_1.webp,Blended
20401611,아마하간 월드 몰트 에디션 야마자쿠라 캐스크 피니시,Amahagan World Malt Edition Yamazakura Cask Finish,700,47.0,155000,Amahagan,일본,,,,Nagahama,,photos/20401611_1.webp,Blended
60600128,818 데킬라 블랑코,818 Tequila Blanco,750,40.0,118900,818 Tequila,멕시코,,,,,,photos/60600128_1.webp,Other
60500464,퍼컬렌 10년 싱글 그레인,Fercullen 10yo Single Grain,700,40.0,99000,Fercullen,아일랜드,,,,Powerscourt,,photos/60500464_1.webp,Other
20501564,퍼컬렌 8년 블렌디드,Fercullen 8yo Blended,700,40.0,75000,Fercullen,아일랜드,,,,Powerscourt,,photos/20501564_1.webp,Blended
20501565,퍼컬렌 에스테이트 시리즈 2 더 이탈리안 가든스,Fercullen Estate Series 2 The Italian Gardens,700,46.0,177000,Fercullen,아일랜드,,,,Powerscourt,,photos/20501565_1.webp,Blended
20501566,퍼컬렌 폴스,Fercullen Falls,700,43.0,50000,Fercullen,아일랜드,,,,Powerscourt,,photos/20501566_1.webp,Blended
10502819,퍼컬렌 14년 싱글몰트,Fercullen 14yo Single Malt,700,46.0,164000,Fercullen,아일랜드,,,,Powerscourt,,photos/10502819_1.webp,Single Malt
10502820,퍼컬렌 18년 싱글몰트,Fercullen 18yo Single Malt,700,43.0,184000,Fercullen,아일랜드,,,,Powerscourt,,photos/10502820_1.webp,Single Malt
10502821,퍼컬렌 20년 싱글몰트,Fercullen 20yo Single Malt,700,40.0,439000,Fercullen,아일랜드,,,,Powerscourt,,photos/10502821_1.webp,Single Malt
10502822,퍼컬렌 21년 싱글몰트,Fercullen 21yo Single Malt,700,46.0,344000,Fercullen,아일랜드,,,,Powerscourt,,photos/10502822_1.webp,Single Malt
60600129,818 데킬라 에잇 리저브,818 Tequila Eight Reserve,750,40.0,680000,818 Tequila,멕시코,,,,,,photos/60600129_1.webp,Other
51700745,스토크 클럽 풀 프루프 라이,Stork Club Full Proof Rye,500,55.0,131000,Stork Club,독일,,,,Spreewood,,photos/51700745_1.webp,Rye
51700746,스토크 클럽 라이,Stork Club Rye,700,43.0,152000,Stork Club,독일,,,,Spreewood,,photos/51700746_1.webp,Rye
51700747,스토크 클럽 스트레이트 라이,Stork Club Straight Rye,700,45.0,104500,Stork Club,독일,,,,Spreewood,,photos/51700747_1.webp,Rye
11302951,스타워드 포티스,Starward Fortis,700,50.0,135000,Starward,호주,,,,Starward,,photos/11302951_1.webp,Single Malt
60600131,아가베로,Agavero,750,32.0,85000,,멕시코,,,,,,photos/60600131_1.webp,Other
61300740,스타워드 투-폴드 더블 그레인,Starward Two-Fold Double Grain,700,40.0,64900,Starward,호주,,,,Starward,,photos/61300740_1.webp,Other
11302950,스타워드 15주년 에디션 비탈리스,Starward 15th Anniversary Vitalis,700,52.0,319000,Starward,호주,,,,Starward,,photos/11302950_1.webp,Single Malt
11302952,스타워드 라가불린 배럴 피니시,Starward Lagavulin Barrel Finish,700,48.0,354000,Starward,호주,,,,Starward,,photos/11302952_1.webp,Single Malt
