id,name,name_eng,category,volume,alcohol,price,brand,nation,distillery,local_full_path,eng_category,alcohol_group,region
10101748,애버펠디 12년,Aberfeldy 12yo,SM_40_43,700,40,75000,Aberfeldy,스코틀랜드,Aberfeldy,photos/10101748_1.webp,Single Malt,40–43,하이랜드
10101749,애버펠디 12년 1L,Aberfeldy 12yo 1L,SM_40_43,1000,40,134000,Aberfeldy,스코틀랜드,Aberfeldy,photos/10101749_1.webp,Single Malt,40–43,하이랜드
10101750,애버펠디 16년,Aberfeldy 16yo,SM_40_43,700,40,125000,Aberfeldy,스코틀랜드,Aberfeldy,photos/10101750_1.webp,Single Malt,40–43,하이랜드
10101751,애버펠디 16년 익셉셔널 캐스크,Aberfeldy 16yo Exceptional Cask,SM_43_46,700,43,270000,Aberfeldy,스코틀랜드,Aberfeldy,photos/10101751_1.webp,Single Malt,43–46,하이랜드
10101752,애버펠디 21년,Aberfeldy 21yo,SM_40_43,700,40,309000,Aberfeldy,스코틀랜드,Aberfeldy,photos/10101752_1.webp,Single Malt,40–43,하이랜드
10101753,애버펠디 28년,Aberfeldy 28yo,SM_40_43,700,40,1150000,Aberfeldy,스코틀랜드,Aberfeldy,photos/10101753_1.webp,Single Malt,40–43,하이랜드
10101754,아벨라워 10년 포레스트 리저브,Aberlour 10yo Forest Reserve,SM_40_43,700,40,69000,Aberlour,스코틀랜드,Aberlour,photos/10101754_1.webp,Single Malt,40–43,스페이사이드
10101755,아벨라워 12년,Aberlour 12yo,SM_40_43,700,40,83000,Aberlour,스코틀랜드,Aberlour,photos/10101755_1.webp,Single Malt,40–43,스페이사이드
10101756,아벨라워 12년 1L,Aberlour 12yo 1L,SM_40_43,1000,40,109000,Aberlour,스코틀랜드,Aberlour,photos/10101756_1.webp,Single Malt,40–43,스페이사이드
10101757,아벨라워 12년 논 칠,Aberlour 12yo Non Chill-Filtered,SM_G46,700,48,95000,Aberlour,스코틀랜드,Aberlour,photos/10101757_1.webp,Single Malt,46+,스페이사이드
10101758,아벨라워 14년,Aberlour 14yo,SM_40_43,700,40,130000,Aberlour,스코틀랜드,Aberlour,photos/10101758_1.webp,Single Malt,40–43,스페이사이드
10101759,아벨라워 16년,Aberlour 16yo,SM_40_43,700,40,180000,Aberlour,스코틀랜드,Aberlour,photos/10101759_1.webp,Single Malt,40–43,스페이사이드
10101760,아벨라워 18년,Aberlour 18yo,SM_40_43,700,40,299000,Aberlour,스코틀랜드,Aberlour,photos/10101760_1.webp,Single Malt,40–43,스페이사이드
