"id","name","name_eng","category","category_specific","volume","alcohol","price","brand","nation","bottled","name_eng-2","region","region_detail","distillery","importer","external_image_url","image_url","full_image_url"
63800001,"1423 S.B.S 가이아나 2020","1423 S.B.S Guyana 2020","기타","럼",700,"66.4",124900,"1423 S.B.S","가이아나",NULL,"1423 S.B.S Guyana 2020",NULL,"","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/9bcf3917-ea12-4ba5-bf49-db0cff16b74a.webp",NULL,NULL
11201698,"카발란 클래식 싱글몰트","Kavalan Classic Single Malt","싱글몰트","싱글몰트 위스키",700,"40",144000,"Kavalan","대만",NULL,"Kavalan Classic Single Malt",NULL,"","Kavalan",NULL,"/m/_next/image?url=https%3A%2F%2Fd1e2y5wc27crnp.cloudfront.net%2Fmedia%2Fsmartorder_reservation%2Freviews%2F854dafec-b8bb-48d7-99bc-ce782251ae34.jpg&w=96&q=85","https://cdn.whisket.co.kr/public/whiskies_dsh/11201698_ds2.png","https://cdn.whisket.co.kr/public/whiskies/11201698.png"
11201699,"카발란 콘서트마스터 포트 캐스크 피니시","Kavalan Concertmaster Port Cask Finish","싱글몰트","싱글몰트 위스키",700,"40",173000,"Kavalan","대만",NULL,"Kavalan Concertmaster Port Cask Finish",NULL,"","Kavalan",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/244ddb64-51ad-48bb-ad96-34d7764625e4.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/11201699_ds2.png","https://cdn.whisket.co.kr/public/whiskies/11201699.png"
11201700,"카발란 콘서트마스터 포트 캐스크 피니시 1L","Kavalan Concertmaster Port Cask Finish 1L","싱글몰트","싱글몰트 위스키",1000,"40",200000,"Kavalan","대만",NULL,"Kavalan Concertmaster Port Cask Finish 1L",NULL,"","Kavalan",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/5361d751-eeae-46ec-9613-f9a25e19bbc1.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/11201700_ds2.png","https://cdn.whisket.co.kr/public/whiskies/11201700.png"
11201701,"카발란 콘서트마스터 셰리 캐스크 피니시","Kavalan Concertmaster Sherry Cask Finish","싱글몰트","싱글몰트 위스키",700,"40",204000,"Kavalan","대만",NULL,"Kavalan Concertmaster Sherry Cask Finish",NULL,"","Kavalan",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/938ed78f-0298-469b-9162-bebc69294e4c.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/11201701_ds2.png","https://cdn.whisket.co.kr/public/whiskies/11201701.png"
11201702,"카발란 디스틸러리 셀렉트","Kavalan Distillery Select","싱글몰트","싱글몰트 위스키",700,"40",89000,"Kavalan","대만",NULL,"Kavalan Distillery Select",NULL,"","Kavalan",NULL,"/m/_next/image?url=https%3A%2F%2Fd1e2y5wc27crnp.cloudfront.net%2Fmedia%2Freviews%2F393a7faa-b543-45ef-a9a1-40ad2882249d.jpg&w=96&q=85","https://cdn.whisket.co.kr/public/whiskies_dsh/11201702_ds2.png","https://cdn.whisket.co.kr/public/whiskies/11201702.png"
11201703,"카발란 킹 카 컨덕터","Kavalan King Car Conductor","싱글몰트","싱글몰트 위스키",700,"46",190000,"Kavalan","대만",NULL,"Kavalan King Car Conductor",NULL,"","Kavalan",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/3d14ce90-f2a8-4678-8a4d-d52333f1a25f.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/11201703_ds2.png","https://cdn.whisket.co.kr/public/whiskies/11201703.png"
11201704,"카발란 올로로쏘 셰리 오크","Kavalan Oloroso Sherry Oak","싱글몰트","싱글몰트 위스키",700,"46",229000,"Kavalan","대만",NULL,"Kavalan Oloroso Sherry Oak",NULL,"","Kavalan",NULL,"/m/_next/image?url=https%3A%2F%2Fd1e2y5wc27crnp.cloudfront.net%2Fmedia%2Freviews%2F58771333-cc0e-4e5f-866a-2eb5f7bbc1be.jpg&w=96&q=85","https://cdn.whisket.co.kr/public/whiskies_dsh/11201704_ds2.png","https://cdn.whisket.co.kr/public/whiskies/11201704.png"
11201705,"카발란 올로로쏘 셰리 오크 1L","Kavalan Oloroso Sherry Oak 1L","싱글몰트","싱글몰트 위스키",1000,"46",423000,"Kavalan","대만",NULL,"Kavalan Oloroso Sherry Oak 1L",NULL,"","Kavalan",NULL,"/m/_next/image?url=https%3A%2F%2Fd1e2y5wc27crnp.cloudfront.net%2Fmedia%2Freviews%2F666f1d8a-cdb0-440c-aaf8-617b3efb87bb.jpg&w=96&q=85","https://cdn.whisket.co.kr/public/whiskies_dsh/11201705_ds2.png","https://cdn.whisket.co.kr/public/whiskies/11201705.png"
11201706,"카발란 포디움","Kavalan Podium","싱글몰트","싱글몰트 위스키",700,"46",229000,"Kavalan","대만",NULL,"Kavalan Podium",NULL,"","Kavalan",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/8c9d4fa1-0b54-4117-8cfd-7d6b35efce54.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/11201706_ds2.png","https://cdn.whisket.co.kr/public/whiskies/11201706.png"
